query,disease,advice
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I have a fever and cough,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Body aches and chills,Flu,"Rest, stay hydrated, and take over-the-counter medications."
Sore throat and runny nose,Flu,"Rest, stay hydrated, and take over-the-counter medications."
I feel fatigued and have a mild fever,Flu,"Rest, stay hydrated, and take over-the-counter medications."
